"Berkley Vacation Resorts, Inc",Rebecca A. Foster,SD,36477,09/08/1998,01/01/2024,12/31/2024,,,,,,,,Active,
Bluegreen Vacations Unlimited Inc,Melissa East,SD,100084703,09/11/2019,01/01/2024,12/31/2024,,4960 Conference Way N #100,,Boca Raton,FL,,33431,Active,
"Bre Grand Islander, Llc",Brian R. Kaufman,SD,100055003,02/19/2015,01/01/2024,12/31/2024,,,,,,,,Active,
"Centennial Park Development, LLC",Daralis Vega de Fernandez,SD,100098980,06/30/2022,01/01/2024,12/31/2024,"C/O Wydham Vacation Resorts, Inc.",155 Centennial Olympic Park Dr NW,,Atlanta,GA,,30313-1803,Active,
Christie Lodge Owners Association,Lisa Siegert-Free,SD,100046533,09/13/2013,01/01/2024,12/31/2024,,,,,,Eagle,,Active,
Diamond Resorts Hawaii Collection Development Llc,Rebekah Bowers,SD,100048082,01/02/2014,01/01/2024,12/31/2024,,,,,,,,Active,
Diamond Resorts Us Co,Rebekah Bowers,SD,38777,04/28/2004,01/01/2024,12/31/2024,,,,,,,,Active,
"Disney Vacation Development, LLC",Yvonne Chang,SD,33717,09/29/1992,01/01/2024,12/31/2024,,,,,,,,Active,
Eagle Pointe Condominium Association,John Palmquist,SD,100067990,02/29/2016,01/01/2024,12/31/2024,,,,,,,,Active,
"ERGS Timeshare, LLC",Tim Smith,SD,100069542,06/09/2016,01/01/2024,12/31/2024,,,,,,,,Active,
"Falcon Pointe Condominium Association, Inc.",John Palmquist,SD,100068308,03/16/2016,01/01/2024,12/31/2024,Lisa Mutz Nelson,175 Lake St,,Avon,CO,,81620,Active,
"Flex Collection, LLC",Robin Suarez,SD,100076777,12/27/2017,01/01/2024,12/31/2024,,,,,,,,Active,
Gold Point Lodging & Realty Inc,John Palmquist,SD,32397,07/21/1989,01/01/2024,12/31/2024,,,,,,,,Active,
Grand Aspen Lodging Llc,Lisa Trosset,SD,38567,03/05/2004,01/01/2024,12/31/2024,,,,,,,,Active,
"Grand Pacific Carlsbad, L.P.",David S Brown,SD,100021079,11/28/2007,01/01/2024,12/31/2024,Legal Department,"5900 Pasteur Court, Suite 200",,Carlsbad,CA,,92008,Active,
Hilton Grand Vacations Barbados Limited,Thomas Goodman,SD,100082873,04/05/2019,01/01/2024,12/31/2024,,,,,,,,Active,
Hilton Resorts Corporation,Rebekah Ellouze,SD,34867,11/15/1994,01/01/2024,12/31/2024,,,,,,,,Active,
Holiday Inn Club Vacations Inc,Michael J Thompson,SD,38947,10/21/2004,01/01/2024,12/31/2024,,,,,,,,Active,
"HPC Developer, LLC",Lisa Trosset,SD,100074830,07/17/2017,01/01/2024,12/31/2024,,,,,,,,Active,
Hrc Islander Llc,Rebekah Ellouze,SD,100044275,05/28/2013,01/01/2024,12/31/2024,,,,,,,,Active,
Kona Hawaiian Vacation Ownership Llc,Daralis Vega de Fernandez,SD,38937,10/07/2004,01/01/2024,12/31/2024,,,,,,,,Active,
Kupono Partners LLC,Thomas Goodman,SD,100087878,07/15/2020,01/01/2024,12/31/2024,,6355 Metrowest Blvd Ste 180,,Orlando,FL,,32835-7606,Active,
Lando Resorts Corporation,Rebecca A. Foster,SD,36387,07/01/1998,01/01/2024,12/31/2024,,"2626 E. Oakland Park Blvd., 2nd Floor",,Ft Lauderdale,FL,,33306,Active,
"LV Tower 52, LLC",Brian Kim,SD,100041404,11/27/2012,01/01/2024,12/31/2024,,,,,,,,Active,
Marriott Ownership Resorts Inc,Joseph J Bramuchi,SD,32957,05/25/1990,01/01/2024,12/31/2024,,,,,,,,Active,
"Maui Timeshare Venture, Llc",Robin Suarez,SD,100047069,10/17/2013,01/01/2024,12/31/2024,,,,,,,,Active,
Nanea Ocean Villas Vacation Ownership Plan,Robin Suarez,SD,100007642,10/16/2006,01/01/2024,12/31/2024,,,,,,,,Active,
Peak 7 Llc,John Palmquist,SD,100018200,11/07/2007,01/01/2024,12/31/2024,,,,,,,,Active,
Peak 8 Properties Llc,John Palmquist,SD,100052231,08/20/2014,01/01/2024,12/31/2024,,Po Box 6879,,Breckenridge,CO,,80424,Active,
Points Of Colorado Inc,Robin Suarez,SD,31657,10/21/1986,01/01/2024,12/31/2024,,,,,,,,Active,
"Poste Montane Lodge Condominium Association, Inc.",John Palmquist,SD,100069517,06/08/2016,01/01/2024,12/31/2024,General Manager,PO Box 5480,"76 Avondale Lane,",Avon,CO,,81620,Active,
"Sheraton Flex Vacations, Llc",Robin Suarez,SD,100055007,02/19/2015,01/01/2024,12/31/2024,,,,,,,,Active,
Shoshana Ranch LLC,Joseph Monty,SD,100101979,04/10/2023,01/01/2024,12/31/2024,,,,,,,,Active,
SP Inn Owner LLC,Matthew Kidd,SD,100098039,04/21/2022,01/01/2024,12/31/2024,,,,,,,,Active,
St Regis Residence Club Of Colorado Inc,Robin Suarez,SD,38577,04/05/2004,01/01/2024,12/31/2024,,,,,,,,Active,
Starpoint Resort Group Inc,Michael J Muldoon,SD,100042386,02/20/2013,01/01/2024,12/31/2024,,,,,,,,Active,
