"id","BusinessName","DesignatedAgent","CredentialTypePrefix","CredentialNumber","LicenseFirstIssueDate","LicenseLastRenewedDate","LicenseExpirationDate","Attention","AddressLine1","AddressLine2","City","State","County","ZipCode","Description","Managed","Units","ManagementCompany"
"657","Aspen Meadows Community Association","Joel Janda","HOA","57131","03/18/2024","03/18/2024","03/18/2025","","Rufous Fronted View","","Colorado Springs ","CO","","80923","Active","Professionally Managed","37","Diversified Association Managemnet"
"824","Barrington Heights Townhome Association","Charlene Sherri Smith","HOA","25429","02/23/2011","02/24/2024","02/23/2025","","Brookside Mesa View"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","126","Hammersmith"
"825","Barrington Heights Townhome Association","Charlene Sherri Smith","HOA","25429","02/23/2011","02/24/2024","02/23/2025","","Brookside Mesa View"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","126","Hammersmith Data Management, Inc."
"826","Barrington Heights Townhome Association","Charlene Sherri Smith","HOA","25429","02/23/2011","02/24/2024","02/23/2025","","Brookside Mesa View"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","126","Hammersmith Management"
"827","Barrington Heights Townhome Association","Charlene Sherri Smith","HOA","25429","02/23/2011","02/24/2024","02/23/2025","","Brookside Mesa View"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","126","Hammersmith Management Company"
"828","Barrington Heights Townhome Association","Charlene Sherri Smith","HOA","25429","02/23/2011","02/24/2024","02/23/2025","","Brookside Mesa View"," ","Colorado Springs","CO","","80923","Active","Professionally Managed","126","Hammersmith, AAMC"
"1947","CHAPARRAL POINT AT INDIGO RANCH HOMEOWNERS ASSOCIATION, INC.","Brandon Jerald Helm","HOA","24181","02/14/2011","05/15/2024","05/14/2025","","Antelope Rdg Dr & Stetson Hills","","Colorado Springs","CO","","80923","Active","Professionally Managed","167",""
"2646","COURTYARDS AT NEWPORT HOMEOWNERS ASSOCIATION","Brandon Jerald Helm","HOA","22208","02/01/2011","05/07/2024","05/06/2025","Van Crest View & SAn Mountain Point","Sand Crest View","","Colorado Springs","CO","El Paso","80923","Active","Professionally Managed","110",""
"3076","Dublin Terrace Townhome Owners Association","Charlene Sherri Smith","HOA","24981","02/21/2011","01/09/2024","01/08/2025","","St. Patrick View","","Colorado Springs","CO","","80923","Active","Professionally Managed","142","Hammersmith"
"3077","Dublin Terrace Townhome Owners Association","Charlene Sherri Smith","HOA","24981","02/21/2011","01/09/2024","01/08/2025","","St. Patrick View","","Colorado Springs","CO","","80923","Active","Professionally Managed","142","Hammersmith Data Management, Inc."
"3078","Dublin Terrace Townhome Owners Association","Charlene Sherri Smith","HOA","24981","02/21/2011","01/09/2024","01/08/2025","","St. Patrick View","","Colorado Springs","CO","","80923","Active","Professionally Managed","142","Hammersmith Management"
"3079","Dublin Terrace Townhome Owners Association","Charlene Sherri Smith","HOA","24981","02/21/2011","01/09/2024","01/08/2025","","St. Patrick View","","Colorado Springs","CO","","80923","Active","Professionally Managed","142","Hammersmith Management Company"
"3080","Dublin Terrace Townhome Owners Association","Charlene Sherri Smith","HOA","24981","02/21/2011","01/09/2024","01/08/2025","","St. Patrick View","","Colorado Springs","CO","","80923","Active","Professionally Managed","142","Hammersmith, AAMC"
"3849","Foursquare Collection at Pathways Homeowners Association, Inc.","Joel Janda","HOA","55510","03/03/2022","05/03/2024","05/03/2025","","Spring Breeze Drive ","","Colorado Springs","CO","","80923","Active","Professionally Managed","84","Diversified Association Managemnet"
"5227","Indigo Ranch At Ridgeview Homeowners Association","Charlene Sherri Smith","HOA","28586","08/13/2012","08/14/2023","08/13/2024","","5501 Whiskey River Dr","","Colorado Springs","CO","","80923","Active","Professionally Managed","309","Hammersmith"
"5228","Indigo Ranch At Ridgeview Homeowners Association","Charlene Sherri Smith","HOA","28586","08/13/2012","08/14/2023","08/13/2024","","5501 Whiskey River Dr","","Colorado Springs","CO","","80923","Active","Professionally Managed","309","Hammersmith Data Management, Inc."
